,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,Q,0.0,-6.71875e-09,False,BLB,1.50000075,5.0343750000000004e-08,False,VSS,0.0,-2.1937499999999997e-08,False,BL,1.50000075,4.419791666666666e-08,False,QB,0.52665,1.3895833333333333e-08,False,WL,7.5e-07,-6.6145833333333334e-09,False,VDD,1.5000010000000001,2.94375e-08,False,VDD12,1.5000005,3.719791666666667e-08,False,VSS12,-7.5e-07,-1.6562500000000001e-09,False
1,Q,2.5000000000000004e-07,-4.135416666666667e-09,False,BLB,1.5000012500000002,4.7020833333333337e-08,False,VSS,-1.2499999999999999e-06,-1.1166666666666666e-08,False,BL,1.49999975,3.742708333333333e-08,False,QB,0.465925,1.03125e-08,False,WL,1.5e-06,-7.5625e-09,False,VDD,1.5000005,2.440625e-08,False,VDD12,1.5000010000000001,3.083333333333334e-08,False,VSS12,1.2499999999999999e-06,2.9166666666666664e-10,False
2,Q,0.05,-1.5625000000000001e-09,False,BLB,1.4999985,4.627083333333334e-08,False,VSS,0.0,-1.046875e-08,False,BL,1.50000025,3.4864583333333337e-08,False,QB,0.41974999999999996,7.875000000000001e-09,False,WL,1.0000000000000002e-06,-3.5833333333333336e-09,False,VDD,1.499999,2.3114583333333334e-08,False,VDD12,1.5000005,2.6854166666666668e-08,False,VSS12,-2.5000000000000004e-07,1.34375e-09,False
3,Q,0.10000024999999998,-1.7708333333333334e-10,False,BLB,1.49999975,4.5583333333333335e-08,False,VSS,5.000000000000001e-07,-1.0208333333333332e-08,False,BL,1.5,3.2364583333333334e-08,False,QB,0.38325,6.5416666666666665e-09,False,WL,5.000000000000001e-07,-4.0416666666666665e-09,False,VDD,1.5000010000000001,2.0458333333333333e-08,False,VDD12,1.49999925,2.596875e-08,False,VSS12,-5.000000000000001e-07,1.1041666666666666e-09,False
4,Q,0.1499995,1.2395833333333335e-09,False,BLB,1.50000075,4.4416666666666664e-08,False,VSS,2.5000000000000004e-07,-1.0093750000000002e-08,False,BL,1.4999995,3.1406250000000004e-08,False,QB,0.353675,5.25e-09,False,WL,-2.5000000000000004e-07,-5.90625e-09,False,VDD,1.49999975,1.90625e-08,False,VDD12,1.5,2.4156249999999998e-08,False,VSS12,-7.5e-07,2.104166666666667e-09,False
5,Q,0.20000099999999998,1.6562500000000001e-09,False,BLB,1.50000075,4.589583333333334e-08,False,VSS,2.5000000000000004e-07,-9.354166666666667e-09,False,BL,1.49999975,2.963541666666667e-08,False,QB,0.32905,4.229166666666667e-09,False,WL,-2.5000000000000004e-07,-2.9895833333333332e-09,False,VDD,1.50000025,1.6885416666666667e-08,False,VDD12,1.5000010000000001,2.290625e-08,False,VSS12,-7.5e-07,1.8750000000000002e-09,False
6,Q,0.24999925,2.28125e-09,False,BLB,1.5,4.551041666666667e-08,False,VSS,-5.000000000000001e-07,-1.028125e-08,False,BL,1.50000075,2.9229166666666665e-08,False,QB,0.308475,3.875e-09,False,WL,2.5000000000000004e-07,-3.3020833333333335e-09,False,VDD,1.50000025,1.6666666666666667e-08,False,VDD12,1.5,2.2656249999999998e-08,False,VSS12,0.0,2.5416666666666663e-09,False
7,Q,0.30000025,2.3020833333333333e-09,False,BLB,1.5000012500000002,4.5312499999999996e-08,False,VSS,-2.5000000000000004e-07,-9.958333333333335e-09,False,BL,1.50000075,2.803125e-08,False,QB,0.291025,3e-09,False,WL,0.0,-5.020833333333334e-09,False,VDD,1.50000025,1.565625e-08,False,VDD12,1.5,2.1489583333333334e-08,False,VSS12,0.0,2.604166666666667e-09,False
8,Q,0.34999925000000004,3.65625e-09,False,BLB,1.50000025,4.4885416666666666e-08,False,VSS,1.2499999999999999e-06,-9.156250000000001e-09,False,BL,1.50000025,2.8e-08,False,QB,0.2762,2.78125e-09,False,WL,-2.5000000000000004e-07,-1.2708333333333331e-09,False,VDD,1.50000025,1.5000000000000002e-08,False,VDD12,1.5000005,2.0458333333333333e-08,False,VSS12,0.0,3.614583333333333e-09,False
9,Q,0.40000125,4.291666666666666e-09,False,BLB,1.4999995,4.48125e-08,False,VSS,0.0,-9.322916666666668e-09,False,BL,1.50000075,2.761458333333333e-08,False,QB,0.263025,2.59375e-09,False,WL,2.5000000000000004e-07,-4.354166666666668e-09,False,VDD,1.49999975,1.4635416666666667e-08,False,VDD12,1.4999985,1.863541666666667e-08,False,VSS12,2.5000000000000004e-07,2.9375000000000002e-09,False
